thy,PP$
fingers,NNS
make,VB
early,JJ
flowers,NNS
of,IN
all,ABN
things,NNS
thy,PP$
hair,NN
mostly,RB
the,AT
hours,NNS
love:,.
a,AT
smoothness,NN
which,WDT
sings,VBZ
saying,VBG
though,CS
love,NN
be,BE
a,AT
day,NN
do,DO
not,*
fear,VB
we,PPSS
will,MD
go,VB
amaying,.
thy,PP$
whitest,JJ
feet,NNS
crisply,RB
are,BER
straying,.
always,RB
thy,PP$
moist,JJ
eyes,NNS
are,BER
at,IN
kisses,NNS
playing,VBG
whose,WP$
strangeness,NN
much,RB
says,VBZ
singing,NN
though,CS
love,NN
be,BE
a,AT
day,NN
for,IN
which,WDT
girl,NN
art,NN
thou,PPSS
flowers,NNS
bringing,VBG
to,TO
be,BE
thy,PP$
lips,NNS
is,BEZ
a,AT
sweet,JJ
thing,NN
and,CC
small,JJ
death,NN
thee,PPS
i,MD
call,VB
rich,JJ
beyond,IN
wishing,VBG
if,CS
this,DT
thou,PPSS
catch,VB
else,RB
missing,VBG
though,CS
love,NN
be,BE
a,AT
day,NN
and,CC
life,NN
be,BE
nothing,PN
it,PPS
shall,MD
not,*
stop,VB
kissing,VBG
all,ABN
in,IN
green,NN
went,VBD
my,PP$
love,NN
riding,VBG
on,IN
a,AT
great,JJ
horse,NN
of,IN
gold,NN
into,IN
the,AT
silver,JJ
dawn,NN
four,CD
lean,JJ
hounds,NNS
crouched,VBD
low,JJ
and,CC
smiling,VBG
the,AT
merry,JJ
deer,NNS
ran,VBD
before,RB
fleeter,MD
be,BE
they,PPSS
than,CS
dappled,VBN
dreams,NNS
the,AT
swift,JJ
sweet,JJ
deer,NNS
the,AT
red,JJ
rare,JJ
deer,NNS
four,CD
red,JJ
roebuck,NNS
at,IN
a,AT
white,JJ
water,NN
the,AT
cruel,JJ
bugle,NN
sang,VBD
before,RB
horn,NN
at,IN
hip,NN
went,VBD
my,PP$
love,NN
riding,VBG
riding,VBG
the,AT
echo,NN
down,RP
into,IN
the,AT
silver,JJ
dawn,NN
four,CD
lean,JJ
hounds,NNS
crouched,VBD
low,JJ
and,CC
smiling,VBG
the,AT
level,NN
meadows,NNS
ran,VBD
before,RB
softer,JJR
be,BE
they,PPSS
than,IN
slippered,AT
sleep,NN
the,AT
lean,JJ
lithe,JJ
deer,NNS
the,AT
fleet,NN
flown,VBN
deer,NNS
four,CD
fleet,NN
does,DOZ
at,IN
a,AT
gold,JJ
valley,NN
the,AT
famished,JJ
arrow,NN
sang,VBD
before,RB
bow,NN
at,IN
belt,NN
went,VBD
my,PP$
love,NN
riding,VBG
riding,VBG
the,AT
mountain,NN
down,RP
into,IN
the,AT
silver,JJ
dawn,NN
four,CD
lean,JJ
hounds,NNS
crouched,VBD
low,JJ
and,CC
smiling,VBG
the,AT
sheer,JJ
peaks,NNS
ran,VBD
before,RB
paler,MD
be,BE
they,PPSS
than,IN
daunting,AT
death,NN
the,AT
sleek,JJ
slim,JJ
deer,NNS
the,AT
tall,JJ
tense,JJ
deer,NNS
four,CD
tall,JJ
stags,NNS
at,IN
a,AT
green,JJ
mountain,NN
the,AT
lucky,JJ
hunter,NN
sang,VBD
before,RB
all,ABN
in,IN
green,NN
went,VBD
my,PP$
love,NN
riding,VBG
on,IN
a,AT
great,JJ
horse,NN
of,IN
gold,NN
into,IN
the,AT
silver,JJ
dawn,NN
four,CD
lean,JJ
hounds,NNS
crouched,VBD
low,JJ
and,CC
smiling,VBG
my,PP$
heart,NN
fell,VBD
dead,JJ
before,CS
j,)
when,WRB
god,NN
lets,VBZ
my,PP$
body,NN
be,BE
from,IN
each,DT
brave,JJ
eye,NN
shall,MD
sprout,VB
a,AT
tree,NN
fruit,NN
that,CS
dangles,PPSS
therefrom,RB
the,AT
purpled,JJ
world,NN
will,MD
dance,VB
upon,IN
between,IN
my,PP$
lips,NNS
which,WDT
did,DOD
sing,VB
a,AT
rose,NN
shall,MD
beget,VB
the,AT
spring,NN
that,CS
maidens,NNS
whom,WPO
passion,NN
wastes,NNS
will,MD
lay,VB
between,IN
their,PP$
little,JJ
breasts,NNS
my,PP$
strong,JJ
fingers,NNS
beneath,IN
the,AT
snow,NN
into,IN
strenuous,JJ
birds,NNS
shall,MD
go,VB
my,PP$
love,NN
walking,VBG
in,IN
the,AT
grass,NN
their,PP$
wings,NNS
will,MD
touch,VB
with,IN
her,PP$
face,NN
and,CC
all,ABN
the,AT
while,NN
shall,MD
my,PP$
heart,NN
be,BE
with,IN
the,AT
bulge,NN
and,CC
nuzzle,VBD
of,IN
the,AT
sea,NN
in,IN
just,RB
spring,NN
when,WRB
the,AT
world,NN
is,BEZ
mud,NN
luscious,JJ
the,AT
